emg1_min,emg1_max,emg2_min,emg2_max,emg3_min,emg3_max,emg4_min,emg4_max,emg5_min,emg5_max,emg6_min,emg6_max,emg7_min,emg7_max,emg8_min,emg8_max,movement
-95,70,-34,46,-17,19,-6,5,-4,2,-5,5,-11,8,-44,39,0
-23,20,-16,11,-6,6,-4,2,-4,3,-3,1,-5,5,-13,7,0
-52,22,-12,14,-7,6,-5,4,-4,3,-4,2,-6,3,-16,12,0
-30,24,-12,9,-6,7,-4,2,-4,2,-4,3,-4,2,-13,7,0
-40,23,-16,16,-7,6,-5,5,-4,3,-4,2,-5,3,-22,6,0
-38,23,-11,16,-7,5,-5,3,-5,2,-5,2,-5,3,-13,9,0
-8,6,-22,36,-10,10,-5,3,-4,2,-3,2,-11,4,-40,20,0
-57,39,-31,26,-14,7,-6,4,-5,2,-4,3,-10,8,-20,20,0
-40,27,-14,15,-8,9,-5,3,-3,2,-4,2,-11,3,-20,15,0
-27,18,-20,16,-5,6,-4,2,-3,1,-5,2,-14,2,-26,20,0
-101,61,-26,23,-8,7,-7,6,-6,7,-5,5,-10,7,-54,72,0
-87,54,-20,18,-10,7,-6,3,-5,2,-5,2,-15,8,-38,32,0
-80,62,-19,18,-11,5,-7,3,-5,3,-4,1,-11,6,-34,25,0
-21,6,-18,22,-6,6,-5,3,-4,1,-6,1,-20,5,-26,34,0
-7,5,-16,18,-7,7,-5,5,-4,3,-4,2,-7,4,-21,19,0
-40,50,-14,16,-8,5,-10,8,-53,35,-7,3,-8,5,-24,23,0
-43,38,-16,18,-6,5,-6,4,-4,2,-4,2,-10,6,-20,23,0
-66,30,-16,15,-9,5,-7,3,-6,2,-6,3,-17,9,-21,23,0
-64,67,-17,16,-10,6,-5,3,-4,3,-5,3,-13,7,-44,32,0
-39,22,-14,18,-8,6,-5,3,-5,2,-5,2,-13,7,-22,16,0
-56,32,-21,20,-8,8,-7,3,-5,2,-4,3,-12,10,-34,40,0
-69,21,-16,19,-9,7,-6,4,-3,2,-3,2,-13,7,-23,27,0
-44,51,-19,19,-9,9,-5,4,-5,3,-4,1,-9,10,-33,30,0
-40,36,-20,20,-9,10,-7,3,-5,2,-4,2,-10,7,-30,27,0
-39,22,-12,33,-7,7,-5,3,-4,2,-4,1,-15,8,-35,34,0
-20,12,-14,16,-9,9,-5,4,-5,2,-5,2,-12,6,-38,32,0
-54,53,-22,12,-8,5,-5,4,-4,2,-4,2,-9,4,-26,28,0
-18,15,-23,16,-8,6,-6,2,-5,2,-4,1,-7,3,-22,12,0
-80,40,-28,20,-8,13,-8,5,-4,3,-5,2,-12,7,-29,17,0
-27,21,-28,29,-10,7,-7,6,-5,3,-4,3,-11,4,-41,23,0
-27,18,-23,16,-7,6,-8,5,-5,3,-3,1,-7,3,-22,28,0
-36,22,-24,18,-9,7,-5,4,-4,4,-4,3,-7,5,-34,25,0
-58,34,-18,16,-7,6,-6,5,-5,3,-4,2,-9,8,-41,39,0
-66,30,-15,17,-7,6,-5,4,-4,4,-6,4,-9,5,-24,28,0
-65,32,-25,21,-7,6,-7,5,-5,3,-5,2,-11,8,-51,46,0
-90,26,-19,21,-9,11,-10,4,-10,4,-5,3,-11,6,-54,34,0
-55,45,-26,19,-9,8,-6,5,-6,3,-5,4,-14,12,-70,39,0
-72,47,-28,23,-10,9,-5,4,-4,2,-6,2,-9,7,-30,26,0
-30,13,-19,21,-7,6,-5,3,-4,2,-4,3,-8,9,-28,18,0
-31,14,-17,18,-8,6,-6,4,-4,2,-4,1,-10,5,-20,19,0
-67,69,-23,23,-9,9,-7,5,-7,5,-5,3,-14,6,-26,24,0
-53,35,-16,13,-8,9,-8,5,-5,2,-6,2,-13,8,-15,24,0
-54,39,-21,18,-8,10,-6,4,-4,3,-5,5,-16,6,-32,22,0
-52,21,-14,15,-7,6,-6,6,-4,2,-7,2,-13,7,-16,15,0
-78,48,-19,25,-9,11,-6,5,-5,4,-4,2,-19,7,-27,24,0
-57,26,-18,15,-12,13,-6,3,-4,3,-4,2,-11,5,-30,19,0
-32,16,-12,12,-8,7,-6,5,-5,3,-4,1,-9,8,-22,17,0
-97,51,-20,19,-11,6,-7,7,-6,4,-10,4,-14,7,-21,27,0
-43,24,-13,11,-7,10,-5,3,-5,4,-4,1,-11,6,-15,12,0
-25,27,-22,16,-8,7,-5,5,-6,2,-4,3,-14,6,-22,27,0
-70,42,-21,18,-7,8,-4,3,-4,2,-5,3,-11,4,-29,26,0
-33,23,-17,21,-7,6,-5,2,-7,5,-4,2,-12,6,-17,12,0
-34,18,-22,19,-8,10,-4,3,-4,2,-3,2,-5,3,-20,11,0
-61,34,-12,16,-7,6,-4,3,-3,1,-4,2,-7,3,-18,16,0
-29,18,-17,22,-8,6,-5,3,-4,2,-4,2,-8,3,-18,15,0
-22,13,-12,14,-7,6,-4,4,-5,2,-6,3,-25,9,-26,13,0
-54,34,-16,19,-9,9,-7,4,-4,2,-4,2,-7,4,-33,29,0
-23,25,-19,22,-8,7,-5,5,-4,3,-5,3,-12,11,-16,14,0
-87,37,-17,18,-7,7,-6,5,-4,4,-5,3,-10,4,-36,22,0
-29,17,-12,16,-7,7,-6,3,-7,3,-6,3,-24,14,-19,15,0
-87,50,-13,15,-7,7,-5,3,-4,2,-4,2,-11,5,-23,18,0
-17,17,-15,16,-7,6,-5,3,-4,3,-4,2,-11,5,-15,20,0
-20,19,-14,17,-8,6,-4,4,-3,2,-4,2,-6,2,-17,23,0
-15,9,-23,17,-6,6,-6,5,-5,2,-7,3,-9,5,-18,17,0
-7,5,-17,13,-6,6,-5,3,-4,2,-3,2,-4,2,-15,9,0
-16,12,-14,12,-6,5,-4,3,-4,2,-4,1,-6,2,-25,13,0
-16,10,-15,14,-7,7,-6,4,-5,2,-4,2,-5,3,-20,17,0
-101,78,-20,20,-7,8,-5,2,-4,2,-5,2,-11,8,-29,16,0
-22,9,-14,15,-7,7,-5,4,-4,2,-5,2,-5,3,-17,10,0
-17,7,-24,16,-7,6,-5,3,-4,2,-5,2,-14,9,-16,12,0
-34,42,-17,19,-10,6,-7,4,-5,3,-5,2,-10,3,-38,15,0
-21,17,-18,16,-8,7,-5,3,-5,2,-4,2,-8,2,-21,16,0
-11,12,-15,22,-7,6,-5,2,-4,2,-4,2,-5,2,-15,11,0
-25,12,-21,21,-7,6,-5,3,-3,2,-4,1,-8,3,-21,15,0
-56,24,-18,17,-8,5,-6,3,-4,3,-6,2,-19,4,-18,18,0
-77,36,-24,27,-10,11,-6,5,-6,6,-6,3,-16,11,-30,16,0
-33,22,-17,20,-9,9,-4,4,-4,2,-6,2,-20,15,-31,19,0
-56,19,-13,23,-8,6,-5,3,-4,3,-7,2,-20,8,-17,16,0
-88,51,-19,19,-8,11,-5,4,-4,2,-6,2,-12,7,-24,11,0
-30,23,-19,20,-9,12,-6,5,-4,2,-6,3,-15,7,-22,15,0
-43,37,-18,19,-11,11,-6,4,-6,3,-8,4,-17,10,-22,15,0
-65,37,-26,15,-8,10,-5,3,-4,2,-6,3,-16,16,-20,13,0
-99,83,-27,21,-9,9,-6,3,-5,2,-5,2,-9,5,-28,21,0
-55,24,-18,20,-9,9,-6,3,-4,2,-5,5,-18,10,-19,20,0
-95,51,-21,25,-9,7,-6,4,-4,3,-8,5,-26,16,-33,30,0
-35,18,-25,22,-10,9,-5,4,-4,3,-5,4,-13,8,-16,20,0
-29,22,-23,32,-7,10,-7,5,-5,3,-6,4,-17,9,-52,26,0
-39,39,-21,21,-8,6,-6,3,-4,2,-6,4,-16,10,-37,30,0
-48,22,-23,24,-10,11,-6,4,-5,3,-8,3,-31,21,-25,24,0
-63,18,-23,27,-7,10,-6,4,-5,3,-9,6,-25,20,-25,25,0
-30,21,-24,19,-9,7,-9,7,-5,3,-10,4,-25,21,-27,31,0
-57,49,-19,17,-9,12,-5,4,-4,4,-8,4,-28,14,-38,46,0
-57,31,-27,24,-9,6,-6,4,-5,4,-6,2,-13,6,-25,20,0
-69,24,-27,16,-7,8,-6,4,-7,4,-7,5,-16,18,-32,24,0
