emg1_min,emg1_max,emg2_min,emg2_max,emg3_min,emg3_max,emg4_min,emg4_max,emg5_min,emg5_max,emg6_min,emg6_max,emg7_min,emg7_max,emg8_min,emg8_max,class
-11,8,-5,3,-6,2,-9,4,-16,8,-12,12,-24,26,-38,51,0
-4,4,-5,2,-4,2,-6,3,-9,4,-10,9,-19,20,-18,44,0
-4,3,-3,2,-4,2,-5,4,-10,5,-12,7,-26,18,-20,23,0
-5,3,-4,3,-5,2,-8,4,-9,5,-10,6,-13,17,-27,24,0
-5,3,-4,2,-5,3,-7,5,-11,7,-9,7,-12,24,-21,26,0
-6,3,-5,2,-6,3,-8,4,-8,4,-9,9,-16,19,-18,22,0
-6,2,-5,2,-5,2,-8,5,-8,4,-11,7,-14,14,-23,32,0
-5,3,-4,2,-5,2,-7,2,-8,4,-10,6,-11,13,-17,24,0
-6,2,-4,2,-6,2,-7,4,-11,5,-13,9,-16,15,-13,20,0
-12,38,-5,3,-3,1,-4,1,-5,2,-5,2,-4,2,-16,22,0
-14,6,-6,2,-4,1,-4,2,-5,2,-6,4,-5,5,-19,27,0
-9,7,-5,3,-4,1,-4,2,-4,2,-7,3,-6,4,-15,30,0
-8,5,-6,3,-3,1,-4,3,-4,1,-6,3,-5,4,-21,30,0
-9,8,-6,3,-4,1,-4,2,-5,2,-5,3,-5,3,-22,33,0
-7,7,-5,4,-3,2,-4,2,-4,1,-5,2,-8,4,-19,29,0
-6,6,-4,2,-4,2,-4,2,-4,2,-4,2,-5,3,-15,27,0
-7,6,-4,3,-4,1,-4,1,-5,2,-4,2,-7,3,-19,30,0
-8,11,-5,3,-4,2,-3,1,-4,1,-5,3,-6,5,-18,30,0
-6,6,-4,4,-4,1,-4,2,-6,3,-6,3,-4,4,-20,31,0
-6,5,-5,3,-4,2,-4,1,-5,2,-6,3,-6,3,-17,34,0
-7,5,-4,3,-3,2,-5,2,-4,1,-5,2,-6,3,-18,29,0
-6,5,-5,3,-4,2,-4,1,-4,1,-4,3,-5,4,-18,29,0
-6,6,-5,3,-4,2,-3,2,-4,1,-5,2,-8,6,-15,21,0
-6,5,-4,3,-4,2,-3,1,-4,1,-4,3,-5,4,-17,27,0
-8,5,-4,4,-3,2,-4,1,-4,2,-6,2,-6,3,-8,7,0
-6,4,-4,3,-4,2,-4,1,-4,2,-5,3,-5,3,-8,7,0
-4,6,-4,2,-3,1,-4,2,-4,2,-5,2,-5,2,-8,6,0
-5,5,-5,2,-3,2,-4,2,-4,1,-6,2,-5,3,-6,7,0
-6,5,-4,3,-4,2,-3,2,-4,2,-5,2,-6,3,-6,6,0
-7,6,-4,2,-4,2,-4,3,-5,2,-5,2,-5,2,-8,7,0
